"ID" "CONTEXT" "NKJP" "Pantera" "WMBT" "WCRFT" "Concraft"
15958 "stuleciach w złowrogim cieniu teorii dwóch >>potężniejszych<< od niej wrogów : jak " "adj:pl:gen:m1:com" "adj:pl:gen:f:com" "adj:pl:gen:m3:com" "adj:pl:gen:f:com" "adj:pl:gen:m3:com"
15971 "Niemcy , to Rosja . Ot >>i<< wszystko . A najgorsze , " "qub:wok,qub:nwok" "conj" "conj" "conj" "conj"
15995 "resentymentów i historycznych krzywd , okazanie >>Rosji<< poczucia wyższości , a nawet " "subst:sg:dat:f" "subst:sg:gen:f" "subst:sg:gen:f" "subst:sg:gen:f" "subst:sg:gen:f"
16011 "nareszcie na wschód Kacapów &quot; . >>A<< na poważnie : dystrybucją towarów " "conj" "subst:sg:nom:m3" "subst:sg:nom:m3" "subst:sg:nom:m3" "subst:sg:nom:m3"
16043 "zarabiasz na tym co sprzedał eś >>plus<< procent z zarobków ludzi których " "conj" "subst:sg:acc:m3" "subst:sg:acc:m3" "subst:sg:acc:m3" "subst:sg:acc:m3"
16048 "eś plus procent z zarobków ludzi >>których<< zwerbował eś . Ależ kochany " "adj:pl:acc:m1:pos" "adj:pl:gen:m1:pos" "adj:pl:gen:m1:pos" "adj:pl:gen:m1:pos" "adj:pl:gen:m1:pos"
16054 "których zwerbował eś . Ależ kochany >>Wiedźmo<< , czy Pan jeszcze nie " "subst:sg:voc:m1" "subst:sg:voc:f" "subst:sg:voc:f" "subst:sg:voc:f" "subst:sg:voc:f"
16069 "i ciężko on pracuje ? – >>Gieremka<< – uratowane dziecko Jak tylko " "subst:sg:gen:m1" "ign" "ign" "subst:sg:nom:m1" "subst:sg:nom:m1"
16190 "do celów nad wyraz praktycznych i >>higienicznych<< ! Z pewnością nie odnaleźli " "adj:pl:gen:m3:pos" "adj:pl:gen:f:pos" "adj:pl:gen:n:pos" "adj:pl:gen:f:pos" "adj:pl:gen:m1:pos"
16198 "Z pewnością nie odnaleźli śmy punktu >>A<< , pomyślał em . Zastanowię " "subst:sg:nom:n" "brev:pun" "brev:pun" "conj" "conj"
16265 "Przepraszam , czy nie obudziła m >>pana<< ? ” , ponieważ było " "subst:sg:gen:m1" "subst:sg:acc:m1" "subst:sg:acc:m1" "subst:sg:acc:m1" "subst:sg:acc:m1"
16280 "wyrwała go z porannego snu . >>Jędrusia<< przysiadła na brzegu . Drewno " "subst:sg:nom:f" "subst:sg:gen:m1" "subst:sg:acc:m1" "subst:sg:acc:m1" "subst:sg:acc:m1"
16297 "przetworzonego mogą być wstępnie oheblowane lub >>wygładzone<< i złożone w wyrób końcowy " "ppas:pl:nom:f:perf:aff" "ppas:pl:nom:m3:perf:aff" "ppas:pl:nom:m3:perf:aff" "ppas:pl:nom:n:perf:aff" "ppas:pl:nom:n:perf:aff"
16299 "być wstępnie oheblowane lub wygładzone i >>złożone<< w wyrób końcowy , np " "ppas:pl:nom:f:perf:aff" "ppas:pl:nom:m3:perf:aff" "ppas:pl:nom:m3:perf:aff" "ppas:pl:nom:m3:perf:aff" "ppas:pl:nom:n:perf:aff"
16306 "w wyrób końcowy , np . >>opakowanie<< drewniane . 77 . &quot; " "subst:sg:acc:n" "subst:sg:nom:n" "subst:sg:nom:n" "subst:sg:nom:n" "subst:sg:nom:n"
16307 "wyrób końcowy , np . opakowanie >>drewniane<< . 77 . &quot; Typowe " "adj:sg:acc:n:pos" "adj:sg:nom:n:pos" "adj:sg:nom:n:pos" "adj:sg:nom:n:pos" "adj:sg:nom:n:pos"
16321 "&quot; traktowanie towaru może polegać na >>sortowaniu<< , rozdzielaniu , mieszaniu , " "ger:sg:loc:n:imperf:aff" "subst:sg:loc:n" "subst:sg:loc:n" "subst:sg:loc:n" "subst:sg:loc:n"
16340 "fotela i przymknął oczy . Pan >>de<< Berle stał przy oknie i " "subst:sg:nom:m1" "subst:sg:nom:n" "subst:sg:nom:n" "subst:sg:nom:n" "subst:sg:nom:n"
16341 "i przymknął oczy . Pan de >>Berle<< stał przy oknie i patrzył " "subst:sg:nom:m1" "subst:pl:nom:f" "subst:sg:loc:n" "subst:sg:loc:n" "subst:pl:nom:f"
16437 "Wpuszczał do własnej głowy bezład , >>podobny<< temu , jaki zastał w " "adj:sg:acc:m3:pos" "adj:sg:nom:m3:pos" "adj:sg:nom:m3:pos" "adj:sg:nom:m3:pos" "adj:sg:nom:m1:pos"
16438 "do własnej głowy bezład , podobny >>temu<< , jaki zastał w pokoju " "adj:sg:dat:m3:pos" "prep:acc:nwok,prep:acc:wok" "prep:acc:nwok,prep:acc:wok" "subst:sg:dat:n" "adj:sg:dat:m1:pos"
16440 "głowy bezład , podobny temu , >>jaki<< zastał w pokoju . Przytknął " "adj:sg:acc:m3:pos" "adj:sg:nom:m1:pos" "adj:sg:nom:m3:pos" "adj:sg:nom:m1:pos" "adj:sg:nom:m1:pos"
16477 "Nie była do końca pewna , >>czy<< nie chce jej wyprowadzić w " "conj" "qub:wok,qub:nwok" "qub:wok,qub:nwok" "qub:wok,qub:nwok" "qub:wok,qub:nwok"
16529 "ktoś prosi aby być wykorzystany , >>czmu<< mam tego nie uczynić ? " "adv:pos,adv:com,adv:sup" "ign" "ign" "subst:sg:nom:f" "subst:sg:acc:m3"
16535 "czmu mam tego nie uczynić ? >>Zabijającego<< i kaleczącego bez powodu lub " "pact:sg:acc:m2:imperf:aff" "adj:sg:gen:m3:pos" "adj:sg:gen:m3:pos" "adj:sg:gen:m3:pos" "pact:sg:gen:n:imperf:aff"
16537 "tego nie uczynić ? Zabijającego i >>kaleczącego<< bez powodu lub z byle " "pact:sg:acc:m2:imperf:aff" "pact:sg:gen:m3:imperf:aff" "pact:sg:gen:m3:imperf:aff" "pact:sg:gen:m3:imperf:aff" "pact:sg:gen:n:imperf:aff"
16551 "Czy aby mogła istnieć porzebny jest >>jej<< jakiś pojemnik do przechowywania ( " "ppron3:sg:dat:f:ter:akc:npraep" "ppron3:sg:gen:f:ter:akc:npraep" "ppron3:sg:gen:f:ter:akc:npraep" "ppron3:sg:gen:f:ter:akc:npraep" "ppron3:sg:gen:f:ter:akc:npraep"
16559 "pojemnik do przechowywania ( np . >>sare<< komórki albo rulony papirusu ) " "adj:pl:nom:f:pos" "ign" "ign" "subst:pl:nom:f" "adj:pl:acc:f:pos"
16605 ". Ale były one albo bardzo >>niemarksistowskie<< , albo próbował em pisać " "adj:pl:nom:n:pos" "adj:sg:nom:n:pos" "adj:pl:nom:m3:pos" "adj:sg:nom:n:pos" "adj:sg:nom:n:pos"
16624 "SZTUKĘ NA POWSZECHNĄ WYSTAWĘ KRAJOWĄ . >>Obradujące<< w sobotę prezydium Konferencji Rektorów " "pact:sg:nom:n:imperf:aff" "pact:pl:acc:f:imperf:aff" "pact:pl:nom:f:imperf:aff" "pact:pl:nom:f:imperf:aff" "pact:pl:nom:f:imperf:aff"
16627 "WYSTAWĘ KRAJOWĄ . Obradujące w sobotę >>prezydium<< Konferencji Rektorów Akademickich Szkół Polskich " "subst:sg:nom:n" "subst:sg:gen:n" "subst:sg:gen:n" "subst:sg:gen:n" "subst:sg:gen:n"
16630 "Obradujące w sobotę prezydium Konferencji Rektorów >>Akademickich<< Szkół Polskich poparło starania ministra " "adj:pl:gen:m1:pos" "adj:pl:gen:f:pos" "adj:pl:gen:f:pos" "adj:pl:gen:f:pos" "adj:pl:gen:f:pos"
16672 "ciągu regulaminowych trzech godzin uzbierał ponad >>19,5<< kilograma grzybów . Noc spędzili " "num:pl:acc:m3:rec" "ign" "ign" "num:pl:acc:m3:rec" "num:pl:nom:m3:rec"
16674 "trzech godzin uzbierał ponad 19,5 kilograma >>grzybów<< . Noc spędzili namiętnie . " "subst:pl:gen:m2" "subst:pl:gen:m3" "subst:pl:gen:m3" "subst:pl:gen:m3" "subst:pl:gen:m3"
16676 "uzbierał ponad 19,5 kilograma grzybów . >>Noc<< spędzili namiętnie . Nie widzieli " "subst:sg:acc:f" "subst:sg:nom:f" "subst:sg:nom:f" "subst:sg:nom:f" "subst:sg:nom:f"
16738 "Usiądź wygodnie , bo chcę przedstawić >>ci<< pewien pomysł . . . " "ppron12:sg:dat:f:sec:nakc" "adj:pl:nom:m1:pos" "ppron12:sg:dat:m1:sec:nakc" "ppron12:sg:dat:m1:sec:nakc" "ppron12:sg:dat:m1:sec:nakc"
16749 ". – Cholera , gdyby ś >>chociaż<< była głupia , to było " "qub:wok,qub:nwok" "comp" "comp" "comp" "comp"
16861 "Używajmy ładnych określeń – pouczyła pani >>magister<< . Ciotka usiadła w fotelu " "subst:sg:nom:f" "subst:sg:nom:m1" "subst:sg:nom:m1" "subst:sg:nom:m1" "subst:sg:nom:m1"
16891 "Przetarł stół . Kupił ją . >>To<< zdanie mama Henryka powtarzała po " "adj:sg:acc:n:pos" "pred" "adj:sg:nom:n:pos" "pred" "adj:sg:nom:n:pos"
16892 "stół . Kupił ją . To >>zdanie<< mama Henryka powtarzała po polsku " "subst:sg:acc:n" "subst:sg:nom:n" "subst:sg:nom:n" "subst:sg:nom:n" "subst:sg:nom:n"
16894 "Kupił ją . To zdanie mama >>Henryka<< powtarzała po polsku , dopiero " "subst:sg:gen:m1" "subst:sg:nom:f" "subst:sg:nom:f" "subst:sg:nom:f" "subst:sg:acc:m1"
16943 "strony świata , które pozwalają fruwać >>moim<< głupio rozhuśtanym myślom , wiecznie " "adj:pl:dat:f:pos" "adj:sg:inst:n:pos" "adj:sg:inst:n:pos" "adj:sg:inst:n:pos" "subst:pl:dat:f"
16949 "moim głupio rozhuśtanym myślom , wiecznie >>buntującym<< się przeciw uwięzieniu , jaskiniom " "pact:pl:dat:f:imperf:aff" "pact:pl:dat:m1:imperf:aff" "pact:sg:inst:n:imperf:aff" "pact:sg:inst:m1:imperf:aff" "pact:sg:inst:m1:imperf:aff"
17029 "Hauptmanna , otoczywszy go ramieniem , >>bezwolnego<< , wyczerpanego , w stronę " "adj:sg:acc:m1:pos" "adj:sg:gen:m3:pos" "adj:sg:gen:n:pos" "adj:sg:gen:n:pos" "adj:sg:gen:n:pos"
17031 "otoczywszy go ramieniem , bezwolnego , >>wyczerpanego<< , w stronę łóżka . " "adj:sg:acc:m1:pos" "adj:sg:gen:m3:pos" "ppas:sg:gen:n:perf:aff" "adj:sg:gen:m3:pos" "adj:sg:gen:n:pos"
17056 "korytarza . STARZEC - Co , >>znowu<< wychodzisz ? Obieg chłodniczy i " "adv:pos,adv:com,adv:sup" "qub:wok,qub:nwok" "qub:wok,qub:nwok" "qub:wok,qub:nwok" "qub:wok,qub:nwok"
17149 "FEANI ( przedmioty nietechniczne około 10 >>%<< , przedmioty podstawowe około 35 " "subst:sg:nom:m3" "interp" "interp" "interp" "interp"
17155 "% , przedmioty podstawowe około 35 >>%<< i przedmioty techniczne 55 % " "subst:sg:nom:m3" "interp" "interp" "interp" "interp"
17160 "35 % i przedmioty techniczne 55 >>%<< ) . 1 . W " "subst:sg:nom:m3" "interp" "interp" "interp" "interp"
17168 ". 1 . W grupach przedmiotów >>B<< i C oraz D przynajmniej " "subst:sg:nom:n" "brev:pun" "brev:npun" "brev:pun" "brev:pun"
17170 ". W grupach przedmiotów B i >>C<< oraz D przynajmniej 60 % " "subst:sg:nom:n" "brev:pun" "brev:pun" "brev:npun" "brev:pun"
17172 "grupach przedmiotów B i C oraz >>D<< przynajmniej 60 % zajęć powinny " "subst:sg:nom:n" "brev:pun" "brev:pun" "brev:pun" "brev:pun"
17175 "i C oraz D przynajmniej 60 >>%<< zajęć powinny stanowić ćwiczenia i " "subst:sg:nom:m3" "interp" "interp" "interp" "interp"
17179 "przynajmniej 60 % zajęć powinny stanowić >>ćwiczenia<< i laboratoria . - Yen " "subst:pl:nom:n" "subst:pl:acc:n" "subst:pl:acc:n" "subst:pl:acc:n" "subst:pl:acc:n"
17374 ". O Maćku chodziły legendy , >>które<< sam zresztą stwarzał , często " "adj:pl:acc:f:pos" "adj:pl:nom:f:pos" "adj:pl:nom:f:pos" "adj:sg:nom:n:pos" "adj:pl:nom:f:pos"
17414 ", gdy książki Mariana pokażą się >>znowu<< na półkach księgarskich i znajdą " "adv:pos,adv:com,adv:sup" "qub:wok,qub:nwok" "qub:wok,qub:nwok" "qub:wok,qub:nwok" "qub:wok,qub:nwok"
17487 "- powiedział em - jeśli to >>mnie<< pan szuka . Spotkali śmy " "ppron12:sg:gen:m1:pri:akc" "ppron12:sg:acc:m1:pri:akc" "ppron12:sg:acc:m1:pri:akc" "ppron12:sg:acc:m1:pri:akc" "ppron12:sg:acc:f:pri:akc"
17524 "20 lat . Zawody małych Fiatów >>zepchnęły<< w kąt wyścigi , pożal " "praet:pl:n:perf:agl,praet:pl:n:perf:nagl" "praet:pl:m3:perf:nagl,praet:pl:m3:perf:agl" "praet:pl:m2:perf:nagl,praet:pl:m2:perf:agl" "praet:pl:m2:perf:nagl,praet:pl:m2:perf:agl" "praet:pl:m2:perf:nagl,praet:pl:m2:perf:agl"
17577 "drżące od wysiłku mięśnie i wtedy >>rzuciły<< się na nią . . " "praet:pl:n:perf:agl,praet:pl:n:perf:nagl" "praet:pl:f:perf:agl,praet:pl:f:perf:nagl" "praet:pl:f:perf:agl,praet:pl:f:perf:nagl" "praet:pl:f:perf:agl,praet:pl:f:perf:nagl" "praet:pl:f:perf:agl,praet:pl:f:perf:nagl"
17584 "się na nią . . . >>Jednakże<< i ta dyscyplina prędzej czy " "conj" "qub:wok,qub:nwok" "qub:wok,qub:nwok" "qub:wok,qub:nwok" "qub:wok,qub:nwok"
17678 "Allacha , aby pomagały ludziom . >>Rozdeptany<< . Pozbawione schronienia zwierzęta umierają " "ppas:sg:nom:m3:perf:aff" "ppas:sg:nom:m1:perf:aff" "ppas:sg:nom:m1:perf:aff" "ppas:sg:nom:m1:perf:aff" "ppas:sg:nom:m1:perf:aff"
17681 "pomagały ludziom . Rozdeptany . Pozbawione >>schronienia<< zwierzęta umierają z zimna , " "subst:sg:gen:n" "subst:pl:nom:n" "subst:pl:acc:n" "subst:pl:nom:n" "ger:sg:gen:n:perf:aff"
17688 "zwierzęta umierają z zimna , są >>zagryzane<< przez psy , giną pod " "ppas:pl:nom:n:imperf:aff" "ppas:pl:nom:m3:imperf:aff" "ppas:pl:nom:m3:imperf:aff" "ppas:pl:nom:f:imperf:aff" "ppas:pl:nom:m3:imperf:aff"
17753 "poza wszystkim koty to nie tylko >>obowiązki<< i odpowiedzialność lecz również WIELKA " "subst:pl:nom:m3" "subst:pl:acc:m3" "subst:pl:acc:m3" "subst:pl:acc:m3" "subst:pl:acc:m3"
17755 "koty to nie tylko obowiązki i >>odpowiedzialność<< lecz również WIELKA PRZYJEMNOŚĆ . " "subst:sg:nom:f" "subst:sg:acc:f" "subst:sg:acc:f" "subst:sg:acc:f" "subst:sg:acc:f"
17757 "nie tylko obowiązki i odpowiedzialność lecz >>również<< WIELKA PRZYJEMNOŚĆ . Hodowcy działają " "conj" "qub:wok,qub:nwok" "qub:wok,qub:nwok" "qub:wok,qub:nwok" "qub:wok,qub:nwok"
17770 "dobra rasy , wybierając do rozrodu >>najpiękniejsze<< , najzdrowsze i najbliższe wzorca " "adj:pl:acc:m2:sup" "adj:pl:acc:m3:sup" "adj:sg:nom:n:sup" "adj:pl:nom:m3:sup" "adj:pl:nom:f:sup"
17772 ", wybierając do rozrodu najpiękniejsze , >>najzdrowsze<< i najbliższe wzorca osobniki , " "adj:pl:acc:m2:sup" "adj:sg:nom:n:sup" "adj:sg:nom:n:sup" "adj:pl:nom:f:sup" "adj:sg:nom:n:sup"
17774 "do rozrodu najpiękniejsze , najzdrowsze i >>najbliższe<< wzorca osobniki , a ich " "adj:pl:acc:m2:sup" "adj:pl:nom:m3:sup" "adj:sg:nom:n:sup" "adj:pl:nom:m3:sup" "adj:pl:nom:m3:sup"
17802 "uzasadniana jest zazwyczaj argumentem &quot; jest >>ich<< za dużo i śmierdzą &quot; " "ppron3:pl:gen:m2:ter:akc:npraep" "ppron3:pl:gen:m1:ter:akc:npraep" "ppron3:pl:gen:m3:ter:akc:npraep" "ppron3:pl:gen:m3:ter:akc:npraep" "ppron3:pl:gen:f:ter:akc:npraep"
17804 "zazwyczaj argumentem &quot; jest ich za >>dużo<< i śmierdzą &quot; . Na " "num:pl:nom:m2:rec" "num:pl:acc:m3:rec" "num:pl:nom:m3:rec" "num:pl:nom:n:rec" "num:pl:nom:f:rec"
17826 "ponoć można kupić wszystko , po >>ile<< &quot; chodzą &quot; te urządzenia " "num:pl:acc:m2:rec" "num:pl:acc:m3:rec" "num:pl:acc:n:rec" "num:pl:acc:m3:rec" "num:pl:acc:m3:rec"
17834 "chodzą &quot; te urządzenia . Niewątpliwie >>ważnym<< newsem jest ratyfikacja patronatu FIFe " "adj:sg:inst:m2:pos" "adj:sg:inst:m3:pos" "adj:sg:inst:m3:pos" "adj:sg:inst:m3:pos" "adj:sg:inst:m3:pos"
17835 "&quot; te urządzenia . Niewątpliwie ważnym >>newsem<< jest ratyfikacja patronatu FIFe nad " "subst:sg:inst:m2" "subst:sg:inst:m3" "subst:sg:inst:m3" "subst:sg:inst:m3" "subst:sg:inst:m3"
17839 "Niewątpliwie ważnym newsem jest ratyfikacja patronatu >>FIFe<< nad jej polskim przedstawicielem &quot; " "subst:sg:gen:f" "ign" "ign" "subst:sg:gen:m3" "subst:sg:gen:n"
17845 "FIFe nad jej polskim przedstawicielem &quot; >>Felis<< Polonia &quot; ( gratuluję ! " "subst:sg:nom:m3" "ign" "ign" "subst:sg:nom:f" "subst:sg:nom:m2"
17846 "nad jej polskim przedstawicielem &quot; Felis >>Polonia<< &quot; ( gratuluję ! ) " "subst:sg:nom:m3" "subst:sg:nom:f" "subst:sg:nom:f" "subst:sg:nom:f" "subst:sg:nom:f"
17854 "( gratuluję ! ) , a >>także<< wstępne uznanie dwu nowych ras " "conj" "qub:wok,qub:nwok" "qub:wok,qub:nwok" "qub:wok,qub:nwok" "qub:wok,qub:nwok"
17856 "! ) , a także wstępne >>uznanie<< dwu nowych ras bezwłosych kotów " "ger:sg:nom:n:perf:aff" "subst:sg:acc:n" "subst:sg:nom:n" "subst:sg:nom:n" "subst:sg:nom:n"
17869 "peterbolda i dońskiego sfinksa . Ania >>Wilczek<< opisuje w tym numerze całoroczną " "subst:sg:nom:f" "subst:sg:nom:m1" "subst:sg:nom:m2" "subst:sg:nom:m1" "subst:sg:nom:m2"
17893 "w sferze marzeń , ale i >>tak<< miło poczytać , jak pięknie " "qub:wok,qub:nwok" "adv:pos" "adv:pos" "adv:pos" "adv:pos"
17901 "poczytać , jak pięknie mogą żyć >>koty<< . W eleganckim budynku nowoczesnego " "subst:pl:nom:m2" "subst:pl:acc:m2" "subst:pl:acc:m2" "subst:pl:acc:m2" "subst:pl:acc:m2"
17918 "ponad 150 kotów różnych ras , >>które<< przybyły tu , wraz ze " "adj:pl:nom:m2:pos" "adj:pl:nom:m3:pos" "adj:pl:nom:f:pos" "adj:pl:nom:f:pos" "adj:pl:nom:f:pos"
17919 "150 kotów różnych ras , które >>przybyły<< tu , wraz ze swymi " "praet:pl:m2:perf:nagl,praet:pl:m2:perf:agl" "praet:pl:m3:perf:nagl,praet:pl:m3:perf:agl" "adj:sg:nom:m1:pos" "praet:pl:f:perf:agl,praet:pl:f:perf:nagl" "praet:pl:f:perf:agl,praet:pl:f:perf:nagl"
17922 "ras , które przybyły tu , >>wraz<< ze swymi opiekunami , z " "adv:pos,adv:com,adv:sup" "burk" "subst:sg:acc:m3" "subst:sg:nom:m3" "subst:sg:nom:m3"
18036 "odbyły się VI Międzynarodowe Targi Zoologiczne >>ZOOMARKET<< 2007 . Mankamentem był jedynie " "subst:sg:nom:m3" "ign" "ign" "subst:sg:nom:n" "subst:sg:gen:m3"
18067 "nie tylko o okrucieństwie , ale >>także<< o niebywałej dziurze w polskim " "conj" "qub:wok,qub:nwok" "qub:wok,qub:nwok" "qub:wok,qub:nwok" "qub:wok,qub:nwok"
18127 "można by wyłuskać paru rozbójników , >>kilku<< wichrzycieli i ze dwie terrorystki " "num:pl:acc:m1:rec" "num:pl:nom:m1:rec" "num:pl:nom:m1:rec" "num:pl:nom:m1:rec" "num:pl:nom:m1:rec"
18130 "paru rozbójników , kilku wichrzycieli i >>ze<< dwie terrorystki . Lecz ich " "qub:wok" "prep:gen:wok" "prep:inst:wok" "prep:gen:wok" "prep:inst:wok"
18135 "i ze dwie terrorystki . Lecz >>ich<< wyczyny , w porównaniu z " "ppron3:pl:gen:f:ter:akc:npraep" "ppron3:pl:gen:m1:ter:akc:npraep" "ppron3:pl:gen:m1:ter:akc:npraep" "ppron3:pl:gen:m3:ter:akc:npraep" "ppron3:pl:gen:m1:ter:akc:npraep"
18142 "wyczyny , w porównaniu z repertuarem >>don<< Giovanniego , jawią mi się " "subst:sg:gen:m1" "subst:sg:nom:m1" "subst:sg:nom:m1" "subst:sg:nom:m1" "subst:sg:nom:m1"
18171 "urodą od swych rasowych braci , >>udał<< się do jednego z najsłynniejszych " "praet:sg:m2:perf:agl,praet:sg:m2:perf:nagl" "praet:sg:m1:perf:agl,praet:sg:m1:perf:nagl" "praet:sg:m1:perf:agl,praet:sg:m1:perf:nagl" "praet:sg:m1:perf:agl,praet:sg:m1:perf:nagl" "praet:sg:m1:perf:agl,praet:sg:m1:perf:nagl"
18180 "jednego z najsłynniejszych salonów fryzur &quot; >>Studia<< Urody 101 &quot; , gdzie " "subst:sg:gen:n" "subst:pl:nom:n" "subst:pl:nom:n" "subst:pl:nom:n" "subst:pl:nom:n"
18182 "najsłynniejszych salonów fryzur &quot; Studia Urody >>101<< &quot; , gdzie uczesano go " "num:pl:nom:n:rec" "ign" "ign" "num:pl:gen:m3:congr" "num:pl:nom:m3:rec"
18187 "Urody 101 &quot; , gdzie uczesano >>go<< &quot; na championa &quot; . " "ppron3:sg:acc:m2:ter:nakc:npraep" "ppron3:sg:acc:m1:ter:nakc:npraep" "ppron3:sg:acc:m1:ter:nakc:npraep" "ppron3:sg:acc:m1:ter:nakc:npraep" "ppron3:sg:acc:m1:ter:nakc:npraep"
18195 "na championa &quot; . Niestety nie >>wszystkie<< niechciane kocięta uda się uratować " "adj:pl:acc:n:pos" "adj:pl:nom:n:pos" "adj:pl:nom:f:pos" "adj:pl:nom:n:pos" "adj:pl:nom:m3:pos"
18196 "championa &quot; . Niestety nie wszystkie >>niechciane<< kocięta uda się uratować . " "ppas:pl:acc:n:imperf:neg" "ppas:pl:nom:n:imperf:neg" "ppas:pl:nom:n:imperf:neg" "ppas:pl:nom:n:imperf:neg" "ppas:pl:nom:n:imperf:neg"
18197 "&quot; . Niestety nie wszystkie niechciane >>kocięta<< uda się uratować . Kot " "subst:pl:acc:n" "subst:pl:nom:n" "subst:pl:nom:n" "subst:pl:nom:n" "subst:pl:nom:n"
18209 "wyjeżdżający do Finlandii musi być dodatkowo >>odrobaczony<< na 30 dni przed wyjazdem " "ppas:sg:nom:m2:perf:aff" "ppas:sg:nom:m3:perf:aff" "ppas:sg:nom:m3:perf:aff" "ppas:sg:nom:m3:perf:aff" "ppas:sg:nom:m3:perf:aff"
18216 "na 30 dni przed wyjazdem . >>Szczególne<< uznanie wystawców i zwiedzających wzbudził " "adj:sg:acc:n:pos" "adj:sg:nom:n:pos" "adj:sg:nom:n:pos" "adj:sg:nom:n:pos" "adj:sg:nom:n:pos"
18217 "30 dni przed wyjazdem . Szczególne >>uznanie<< wystawców i zwiedzających wzbudził wybór " "subst:sg:acc:n" "subst:sg:nom:n" "subst:sg:nom:n" "subst:sg:nom:n" "ger:sg:nom:n:perf:aff"
18254 "Kwaśniewski odznaczył za wybitne osiągnięcia artystyczne >>zasłużonych<< muzyków , m.in. Kazimierza Korda " "adj:pl:acc:m1:pos" "adj:pl:gen:m1:pos" "ppas:pl:gen:m1:perf:aff" "adj:pl:gen:m1:pos" "adj:pl:gen:m1:pos"
18255 "odznaczył za wybitne osiągnięcia artystyczne zasłużonych >>muzyków<< , m.in. Kazimierza Korda , " "subst:pl:acc:m1" "subst:pl:gen:m1" "subst:pl:gen:m1" "subst:pl:gen:m1" "subst:pl:gen:m1"
18257 "wybitne osiągnięcia artystyczne zasłużonych muzyków , >>m.in.<< Kazimierza Korda , Konstantego Kulkę " "brev:pun" "brev:pun" "brev:pun" "brev:pun" "brev:pun"
18258 "osiągnięcia artystyczne zasłużonych muzyków , m.in. >>Kazimierza<< Korda , Konstantego Kulkę i " "subst:sg:acc:m1" "subst:sg:gen:m1" "subst:sg:gen:m3" "subst:sg:gen:m3" "subst:sg:gen:m3"
18259 "artystyczne zasłużonych muzyków , m.in. Kazimierza >>Korda<< , Konstantego Kulkę i Piotra " "subst:sg:acc:m1" "subst:sg:gen:m3" "subst:sg:gen:m3" "subst:sg:gen:m3" "subst:sg:gen:m3"
18262 ", m.in. Kazimierza Korda , Konstantego >>Kulkę<< i Piotra Palecznego . – " "subst:sg:acc:m1" "subst:sg:acc:f" "subst:sg:acc:f" "subst:sg:acc:f" "subst:sg:acc:f"
18265 "Korda , Konstantego Kulkę i Piotra >>Palecznego<< . – po szkoleniu – " "subst:sg:acc:m1" "ign" "ign" "subst:sg:gen:m1" "subst:sg:gen:m1"
18301 "wspominali śmy o tym – to >>rzeczywiście<< tutaj diety cud pan proponuje " "qub:wok,qub:nwok" "adv:pos" "adv:pos" "adv:pos" "adv:pos"
18320 "tych wszystkich . bardzo tajemniczych . >>y<< tajemniczych metod które często są " "interj" "brev:pun" "brev:pun" "brev:pun" "brev:pun"
18335 "pieniądze a tutaj okazuje się że >>Młodzi<< zamieszkali na ul . Chrobrego " "subst:pl:nom:m1" "adj:pl:nom:m1:pos" "adj:pl:nom:m1:pos" "adj:pl:nom:m1:pos" "adj:pl:nom:m1:pos"
18340 "że Młodzi zamieszkali na ul . >>Chrobrego<< . Audi RS4 pojawił się " "subst:sg:gen:m1" "adj:sg:gen:m3:pos" "adj:sg:gen:n:pos" "adj:sg:gen:m1:pos" "adj:sg:gen:n:pos"
18386 "gdyż wie , że tylko z >>jego<< pomocą możliwe jest zbudowanie ustroju " "ppron3:sg:gen:m3:ter:akc:npraep" "ppron3:sg:gen:m1:ter:akc:npraep" "ppron3:sg:gen:m1:ter:akc:npraep" "ppron3:sg:gen:m1:ter:akc:npraep" "ppron3:sg:gen:m1:ter:akc:npraep"
18397 "ustroju socjalistycznego w Rumunii . – >>właśnie<< se właśnie se piernęła nie " "adv:pos,adv:com,adv:sup" "qub:wok,qub:nwok" "qub:wok,qub:nwok" "qub:wok,qub:nwok" "qub:wok,qub:nwok"
18399 "w Rumunii . – właśnie se >>właśnie<< se piernęła nie i W " "adv:pos,adv:com,adv:sup" "qub:wok,qub:nwok" "qub:wok,qub:nwok" "qub:wok,qub:nwok" "qub:wok,qub:nwok"
18401 ". – właśnie se właśnie se >>piernęła<< nie i W planie jest " "praet:sg:f:perf:nagl,praet:sg:f:perf:agl" "ign" "ign" "subst:pl:nom:m1" "adj:pl:dat:f:pos"
18462 "do serów twardych . Wielu klientów >>unika<< kupowania wędlin w kawałku , " "fin:pl:ter:imperf" "fin:sg:ter:imperf" "fin:sg:ter:imperf" "fin:sg:ter:imperf" "fin:sg:ter:imperf"
18469 "kupowania wędlin w kawałku , jak >>również<< drogich serów , ponieważ jest " "conj" "qub:wok,qub:nwok" "qub:wok,qub:nwok" "qub:wok,qub:nwok" "qub:wok,qub:nwok"
18488 "pomocy noża niełatwo pokroić je w >>cienkie<< jak pergamin plasterki ) . " "adj:pl:acc:m3:pos" "adj:pl:acc:n:pos" "adj:sg:acc:n:pos" "adj:pl:acc:n:pos" "adj:pl:acc:f:pos"
